%time,field.header.seq,field.header.stamp,field.header.frame_id,field.filter_name,field.original_points_size,field.filtered_points_size,field.original_ring_size,field.filtered_ring_size,field.exe_time
1509044729648300756,26505,1509044729638654000,velodyne,voxel_grid_filter,15741,399,0,0,1.00999999046
1509044729748267455,26506,1509044729743472000,velodyne,voxel_grid_filter,15982,388,0,0,1.0039999485
1509044729853866544,26507,1509044729848319000,velodyne,voxel_grid_filter,16608,398,0,0,1.18200004101
1509044729959515599,26508,1509044729953159000,velodyne,voxel_grid_filter,16951,399,0,0,1.57799994946
1509044730067346904,26509,1509044730057999000,velodyne,voxel_grid_filter,17065,403,0,0,1.10000002384
1509044730169203079,26510,1509044730162840000,velodyne,voxel_grid_filter,16985,399,0,0,0.764999985695
1509044730271359665,26511,1509044730267688000,velodyne,voxel_grid_filter,16924,389,0,0,0.768999993801
1509044730376802140,26512,1509044730372557000,velodyne,voxel_grid_filter,17063,404,0,0,0.987999975681
1509044730482028871,26513,1509044730477382000,velodyne,voxel_grid_filter,17154,396,0,0,1.05200004578
1509044730585656962,26514,1509044730582203000,velodyne,voxel_grid_filter,16928,400,0,0,0.760999977589
1509044730690993943,26515,1509044730687074000,velodyne,voxel_grid_filter,16518,397,0,0,0.875999987125
1509044730796976912,26516,1509044730791909000,velodyne,voxel_grid_filter,16496,400,0,0,1.32299995422
1509044730900466159,26517,1509044730896759000,velodyne,voxel_grid_filter,16453,387,0,0,0.768000006676
1509044731005246572,26518,1509044731001571000,velodyne,voxel_grid_filter,16355,411,0,0,0.753000020981
1509044731110743219,26519,1509044731106412000,velodyne,voxel_grid_filter,16255,389,0,0,1.10000002384
1509044731214944855,26520,1509044731211265000,velodyne,voxel_grid_filter,16182,398,0,0,0.865999996662
1509044731319921176,26521,1509044731316114000,velodyne,voxel_grid_filter,16118,393,0,0,0.810000002384
1509044731424221885,26522,1509044731420946000,velodyne,voxel_grid_filter,16087,390,0,0,0.73400002718
1509044731529483656,26523,1509044731525794000,velodyne,voxel_grid_filter,16221,395,0,0,0.986000001431
1509044731634798231,26524,1509044731630670000,velodyne,voxel_grid_filter,15993,397,0,0,1.00199997425
1509044731738998741,26525,1509044731735482000,velodyne,voxel_grid_filter,15853,407,0,0,0.903999984264
1509044731845765571,26526,1509044731840331000,velodyne,voxel_grid_filter,15771,406,0,0,0.950999975204
1509044731948596531,26527,1509044731945162000,velodyne,voxel_grid_filter,16105,403,0,0,0.772000014782
1509044732053807133,26528,1509044732049995000,velodyne,voxel_grid_filter,16770,401,0,0,1.01800000668
1509044732159830413,26529,1509044732154865000,velodyne,voxel_grid_filter,17110,397,0,0,1.19599997997
1509044732265786702,26530,1509044732259675000,velodyne,voxel_grid_filter,17196,426,0,0,0.771000027657
1509044732367966447,26531,1509044732364531000,velodyne,voxel_grid_filter,16973,431,0,0,0.742999970913
1509044732472868062,26532,1509044732469391000,velodyne,voxel_grid_filter,17012,443,0,0,0.763000011444
1509044732578684469,26533,1509044732574218000,velodyne,voxel_grid_filter,17006,442,0,0,1.05499994755
1509044732682525947,26534,1509044732679044000,velodyne,voxel_grid_filter,17081,424,0,0,0.785000026226
1509044732789417867,26535,1509044732783886000,velodyne,voxel_grid_filter,16786,409,0,0,1.01999998093
1509044732892305201,26536,1509044732888782000,velodyne,voxel_grid_filter,16520,420,0,0,0.805000007153
1509044732997098962,26537,1509044732993586000,velodyne,voxel_grid_filter,16559,409,0,0,0.745000004768
1509044733101958147,26538,1509044733098423000,velodyne,voxel_grid_filter,16382,408,0,0,0.833999991417
1509044733206767889,26539,1509044733203259000,velodyne,voxel_grid_filter,16306,425,0,0,0.736000001431
1509044733312278405,26540,1509044733308112000,velodyne,voxel_grid_filter,16134,415,0,0,0.754000008106
1509044733418930850,26541,1509044733413188000,velodyne,voxel_grid_filter,16040,417,0,0,1.4659999609
1509044733521542174,26542,1509044733517795000,velodyne,voxel_grid_filter,16146,414,0,0,1.0490000248
1509044733626193611,26543,1509044733622620000,velodyne,voxel_grid_filter,16031,411,0,0,0.84399998188
1509044733731375933,26544,1509044733727464000,velodyne,voxel_grid_filter,16078,421,0,0,1.02400004864
1509044733835614372,26545,1509044733832314000,velodyne,voxel_grid_filter,15893,429,0,0,0.735000014305
1509044733941026009,26546,1509044733937179000,velodyne,voxel_grid_filter,15825,433,0,0,1.07099997997
1509044734046394587,26547,1509044734042003000,velodyne,voxel_grid_filter,15627,421,0,0,0.898000001907
1509044734150118468,26548,1509044734146832000,velodyne,voxel_grid_filter,16099,419,0,0,0.740999996662
1509044734255708422,26549,1509044734251678000,velodyne,voxel_grid_filter,16503,421,0,0,0.750999987125
1509044734359948003,26550,1509044734356518000,velodyne,voxel_grid_filter,16658,421,0,0,0.777000010014
1509044734465197427,26551,1509044734461362000,velodyne,voxel_grid_filter,17030,419,0,0,0.788999974728
1509044734570302811,26552,1509044734566206000,velodyne,voxel_grid_filter,16999,426,0,0,0.811999976635
1509044734674779363,26553,1509044734671041000,velodyne,voxel_grid_filter,16918,442,0,0,1.05599999428
1509044734780491402,26554,1509044734775987000,velodyne,voxel_grid_filter,16995,455,0,0,0.996999979019
1509044734884937282,26555,1509044734880742000,velodyne,voxel_grid_filter,17059,451,0,0,0.837999999523
1509044734990489736,26556,1509044734985601000,velodyne,voxel_grid_filter,16778,461,0,0,0.920000016689
1509044735094528998,26557,1509044735090429000,velodyne,voxel_grid_filter,16699,457,0,0,0.944999992847
1509044735202059936,26558,1509044735195270000,velodyne,voxel_grid_filter,16677,465,0,0,1.14300000668
1509044735304545835,26559,1509044735300122000,velodyne,voxel_grid_filter,16551,472,0,0,1.01699995995
1509044735409118270,26560,1509044735404971000,velodyne,voxel_grid_filter,16447,464,0,0,0.887000024319
1509044735515767605,26561,1509044735510161000,velodyne,voxel_grid_filter,16281,458,0,0,1.10699999332
1509044735618181110,26562,1509044735614649000,velodyne,voxel_grid_filter,16140,449,0,0,0.808000028133
1509044735723037244,26563,1509044735719487000,velodyne,voxel_grid_filter,16197,456,0,0,0.762000024319
1509044735827726523,26564,1509044735824319000,velodyne,voxel_grid_filter,16230,455,0,0,0.771000027657
1509044735932879571,26565,1509044735929163000,velodyne,voxel_grid_filter,16159,455,0,0,0.778999984264
1509044736037419186,26566,1509044736034019000,velodyne,voxel_grid_filter,16000,448,0,0,0.762000024319
1509044736142466784,26567,1509044736138837000,velodyne,voxel_grid_filter,15909,456,0,0,0.896000027657
1509044736247831215,26568,1509044736244093000,velodyne,voxel_grid_filter,15801,453,0,0,0.769999980927
1509044736351987570,26569,1509044736348546000,velodyne,voxel_grid_filter,16306,462,0,0,0.773000001907
1509044736456920818,26570,1509044736453375000,velodyne,voxel_grid_filter,16574,468,0,0,0.797999978065
1509044736562275482,26571,1509044736558243000,velodyne,voxel_grid_filter,17068,470,0,0,1.0039999485
1509044736667454526,26572,1509044736663069000,velodyne,voxel_grid_filter,17104,471,0,0,0.878000020981
1509044736771549817,26573,1509044736767897000,velodyne,voxel_grid_filter,16955,468,0,0,0.837000012398
1509044736876357226,26574,1509044736872730000,velodyne,voxel_grid_filter,16886,470,0,0,0.833999991417
1509044736981776503,26575,1509044736977577000,velodyne,voxel_grid_filter,17135,469,0,0,1.06500005722
1509044737086265297,26576,1509044737082414000,velodyne,voxel_grid_filter,17110,472,0,0,0.819999992847
1509044737192318252,26577,1509044737187257000,velodyne,voxel_grid_filter,16824,458,0,0,0.907999992371
1509044737296497516,26578,1509044737292097000,velodyne,voxel_grid_filter,16853,479,0,0,1.01100003719
1509044737401038536,26579,1509044737396947000,velodyne,voxel_grid_filter,16680,476,0,0,0.884000003338
1509044737505686961,26580,1509044737501789000,velodyne,voxel_grid_filter,16647,490,0,0,0.874000012875
1509044737610116364,26581,1509044737606648000,velodyne,voxel_grid_filter,16601,487,0,0,0.800000011921
1509044737715097671,26582,1509044737711523000,velodyne,voxel_grid_filter,16421,484,0,0,0.801999986172
1509044737820043780,26583,1509044737816332000,velodyne,voxel_grid_filter,16448,470,0,0,0.834999978542
1509044737924899441,26584,1509044737921154000,velodyne,voxel_grid_filter,16460,479,0,0,0.800999999046
1509044738029494940,26585,1509044738026006000,velodyne,voxel_grid_filter,16532,471,0,0,0.828999996185
1509044738134385726,26586,1509044738130832000,velodyne,voxel_grid_filter,16488,496,0,0,0.84500002861
1509044738239192182,26587,1509044738235698000,velodyne,voxel_grid_filter,16391,471,0,0,0.822000026703
1509044738344099537,26588,1509044738340546000,velodyne,voxel_grid_filter,16442,454,0,0,0.81099998951
1509044738450046619,26589,1509044738445423000,velodyne,voxel_grid_filter,16533,469,0,0,1.15199995041
1509044738553991687,26590,1509044738550210000,velodyne,voxel_grid_filter,17174,486,0,0,0.874000012875
1509044738659378142,26591,1509044738655045000,velodyne,voxel_grid_filter,17815,475,0,0,1.14800000191
1509044738763917611,26592,1509044738759887000,velodyne,voxel_grid_filter,18093,466,0,0,0.912000000477
1509044738868314303,26593,1509044738864727000,velodyne,voxel_grid_filter,18045,489,0,0,0.862999975681
1509044738973174466,26594,1509044738969646000,velodyne,voxel_grid_filter,18140,504,0,0,0.878000020981
1509044739078306426,26595,1509044739074422000,velodyne,voxel_grid_filter,18101,503,0,0,0.907999992371
1509044739183781317,26596,1509044739179280000,velodyne,voxel_grid_filter,18343,479,0,0,1.16499996185
1509044739287769820,26597,1509044739284101000,velodyne,voxel_grid_filter,18239,497,0,0,0.902000010014
1509044739392707318,26598,1509044739388949000,velodyne,voxel_grid_filter,18421,493,0,0,0.916999995708
1509044739497558185,26599,1509044739493783000,velodyne,voxel_grid_filter,18383,512,0,0,0.908999979496
1509044739602436206,26600,1509044739598623000,velodyne,voxel_grid_filter,18348,524,0,0,0.945999979973
1509044739707207384,26601,1509044739703494000,velodyne,voxel_grid_filter,18224,519,0,0,0.888999998569
1509044739812351856,26602,1509044739808334000,velodyne,voxel_grid_filter,18166,522,0,0,1.19599997997
1509044739917265669,26603,1509044739913167000,velodyne,voxel_grid_filter,17829,530,0,0,0.875
1509044740021619522,26604,1509044740018008000,velodyne,voxel_grid_filter,17631,514,0,0,0.959999978542
1509044740126547971,26605,1509044740122861000,velodyne,voxel_grid_filter,17332,502,0,0,0.897000014782
1509044740231427002,26606,1509044740227682000,velodyne,voxel_grid_filter,17472,518,0,0,0.915000021458
1509044740336656978,26607,1509044740332521000,velodyne,voxel_grid_filter,17358,516,0,0,0.903999984264
1509044740440854829,26608,1509044740437429000,velodyne,voxel_grid_filter,17200,527,0,0,0.839999973774
1509044740545683196,26609,1509044740542219000,velodyne,voxel_grid_filter,17001,514,0,0,0.85799998045
1509044740650650281,26610,1509044740647053000,velodyne,voxel_grid_filter,16848,522,0,0,0.856000006199
1509044740764376684,26611,1509044740751900000,velodyne,voxel_grid_filter,17440,521,0,0,0.958000004292
1509044740860674167,26612,1509044740856737000,velodyne,voxel_grid_filter,17759,527,0,0,0.995000004768
1509044740966228565,26613,1509044740961598000,velodyne,voxel_grid_filter,17740,521,0,0,1.10800004005
1509044741070124430,26614,1509044741066423000,velodyne,voxel_grid_filter,17594,526,0,0,0.896000027657
1509044741174989517,26615,1509044741171276000,velodyne,voxel_grid_filter,17804,517,0,0,0.958999991417
1509044741279865467,26616,1509044741276134000,velodyne,voxel_grid_filter,17757,534,0,0,0.878000020981
1509044741384798142,26617,1509044741380950000,velodyne,voxel_grid_filter,17764,531,0,0,0.940999984741
1509044741489914909,26618,1509044741485781000,velodyne,voxel_grid_filter,18021,515,0,0,0.917999982834
1509044741594312543,26619,1509044741590627000,velodyne,voxel_grid_filter,17931,520,0,0,0.90499997139
1509044741699256382,26620,1509044741695487000,velodyne,voxel_grid_filter,17877,520,0,0,0.855000019073
1509044741804454922,26621,1509044741800318000,velodyne,voxel_grid_filter,17934,496,0,0,1.16100001335
1509044741909192404,26622,1509044741905196000,velodyne,voxel_grid_filter,17848,502,0,0,1.1210000515
1509044742013560289,26623,1509044742010004000,velodyne,voxel_grid_filter,17824,499,0,0,0.880999982357
1509044742119208336,26624,1509044742114841000,velodyne,voxel_grid_filter,17822,505,0,0,1.1289999485
1509044742234377883,26625,1509044742219721000,velodyne,voxel_grid_filter,17602,503,0,0,4.42600011826
1509044742328133652,26626,1509044742324535000,velodyne,voxel_grid_filter,17362,492,0,0,0.875999987125
1509044742432872540,26627,1509044742429375000,velodyne,voxel_grid_filter,17337,502,0,0,0.867999970913
1509044742537626575,26628,1509044742534214000,velodyne,voxel_grid_filter,17327,489,0,0,0.81400001049
1509044742643171407,26629,1509044742639060000,velodyne,voxel_grid_filter,17399,474,0,0,1.09200000763
1509044742747317648,26630,1509044742743884000,velodyne,voxel_grid_filter,17147,471,0,0,0.824000000954
1509044742852591339,26631,1509044742848737000,velodyne,voxel_grid_filter,17466,481,0,0,0.880999982357
1509044742957381504,26632,1509044742953587000,velodyne,voxel_grid_filter,17931,477,0,0,0.944999992847
1509044743062081118,26633,1509044743058427000,velodyne,voxel_grid_filter,18289,489,0,0,0.940999984741
1509044743167192474,26634,1509044743163298000,velodyne,voxel_grid_filter,18119,476,0,0,1.08800005913
1509044743274571220,26635,1509044743268105000,velodyne,voxel_grid_filter,18572,486,0,0,1.91900002956
1509044743378370795,26636,1509044743372953000,velodyne,voxel_grid_filter,18774,469,0,0,0.967000007629
1509044743481978244,26637,1509044743477810000,velodyne,voxel_grid_filter,19143,464,0,0,0.947000026703
1509044743586932698,26638,1509044743582629000,velodyne,voxel_grid_filter,19033,457,0,0,0.96899998188
1509044743702499654,26639,1509044743687493000,velodyne,voxel_grid_filter,19208,460,0,0,2.94199991226
1509044743798005076,26640,1509044743792316000,velodyne,voxel_grid_filter,19412,479,0,0,1.30599999428
1509044743901079776,26641,1509044743897193000,velodyne,voxel_grid_filter,19560,463,0,0,0.901000022888
1509044744006277995,26642,1509044744001993000,velodyne,voxel_grid_filter,19573,457,0,0,1.23500001431
1509044744111357004,26643,1509044744106861000,velodyne,voxel_grid_filter,19623,457,0,0,1.25600004196
1509044744215547853,26644,1509044744211714000,velodyne,voxel_grid_filter,19603,461,0,0,0.929000020027
1509044744320607158,26645,1509044744316519000,velodyne,voxel_grid_filter,19507,468,0,0,0.893999993801
1509044744425296378,26646,1509044744421365000,velodyne,voxel_grid_filter,19335,476,0,0,0.901000022888
1509044744533439674,26647,1509044744526211000,velodyne,voxel_grid_filter,19411,467,0,0,1.89199995995
1509044744634758184,26648,1509044744631070000,velodyne,voxel_grid_filter,19289,485,0,0,0.871999979019
1509044744739742606,26649,1509044744735883000,velodyne,voxel_grid_filter,19065,475,0,0,0.92199999094
1509044744845483446,26650,1509044744840731000,velodyne,voxel_grid_filter,19123,487,0,0,1.30400002003
1509044744949417343,26651,1509044744945584000,velodyne,voxel_grid_filter,19319,459,0,0,0.919000029564
1509044745073361752,26652,1509044745050593000,velodyne,voxel_grid_filter,19551,487,0,0,5.88399982452
1509044745160176641,26653,1509044745155287000,velodyne,voxel_grid_filter,19881,472,0,0,1.25899994373
1509044745264446123,26654,1509044745260096000,velodyne,voxel_grid_filter,19798,461,0,0,1.03299999237
