%time,field.data
1509044736876683889,-1
1509044736929992453,-1
1509044736984153552,47
1509044737036779124,47
1509044737087198449,47
1509044737138829967,47
1509044737188289332,47
1509044737246618964,47
1509044737295983392,47
1509044737346966776,47
1509044737397394914,47
1509044737450296122,47
1509044737500013929,47
1509044737549338692,47
1509044737598953625,47
1509044737650769121,47
1509044737701011100,47
1509044737750241998,47
1509044737799679860,47
1509044737849611813,47
1509044737901616706,47
1509044737951774871,47
1509044738004366491,47
1509044738055076539,47
1509044738105446241,47
1509044738160626962,47
1509044738211042174,47
1509044738261279582,47
1509044738309617311,47
1509044738366393812,47
1509044738428543751,47
1509044738496288209,47
1509044738563261638,47
1509044738630569565,47
1509044738696160745,47
1509044738762591002,47
1509044738830003724,47
1509044738895927083,47
1509044738961155740,47
1509044739028148168,47
1509044739094402858,47
1509044739161589064,47
1509044739227155613,47
1509044739361236869,47
1509044739559766477,47
1509044739629063147,47
1509044739694561014,-1
1509044739761318475,-1
1509044739827679273,-1
1509044739892649179,-1
1509044739960323754,-1
1509044740028118098,-1
1509044740094393373,-1
1509044740161796316,-1
1509044740227810248,-1
1509044740294416852,-1
1509044740361225813,-1
1509044740426915652,-1
1509044740494569917,-1
1509044740561980428,-1
1509044740632594677,-1
1509044740695679899,-1
1509044740765139229,-1
1509044740828760571,-1
1509044740898370275,-1
1509044740976314307,-1
1509044741029140667,-1
1509044741095010522,-1
1509044741161945103,-1
1509044741229403788,-1
1509044741295442284,-1
1509044741361646252,-1
1509044741428124938,-1
1509044741496168068,-1
1509044741562192009,-1
1509044741630968792,-1
1509044741695298143,-1
1509044741762228022,-1
1509044741830342537,-1
1509044741895768223,-1
1509044741962643272,-1
1509044742030013925,-1
1509044742096263138,-1
1509044742162663129,-1
1509044742278264486,-1
1509044742346444801,-1
1509044742395206274,-1
1509044742450361050,-1
1509044742499486651,-1
1509044742559388398,-1
1509044742629697102,-1
1509044742696559877,-1
1509044742761825379,-1
1509044742828063538,-1
1509044742895471345,-1
1509044742961256897,-1
1509044743028911313,-1
1509044743094343665,-1
1509044743160347976,-1
1509044743227366642,-1
1509044743314802581,-1
1509044743494982056,-1
1509044743559925674,-1
1509044743627988811,-1
1509044743727693270,-1
1509044743792586419,-1
1509044743847013162,-1
1509044743897618894,-1
1509044743961621703,-1
1509044744030659235,-1
1509044744094774424,-1
1509044744163953753,-1
1509044744227956487,-1
1509044744296504570,-1
1509044744360888308,-1
1509044744428676984,-1
1509044744529432345,-1
1509044744603484462,-1
1509044744653298479,-1
1509044744703924088,-1
1509044744763218859,-1
1509044744829494097,-1
1509044744898894152,-1
1509044744962382129,-1
1509044745029661823,-1
1509044745142132428,-1
1509044745216166141,-1
1509044745267252511,-1
1509044745319886781,-1
1509044745370473014,-1
1509044745429871368,-1
1509044745495399969,-1
1509044745562252672,-1
1509044745628958152,-1
1509044745695126281,-1
1509044745762224421,-1
1509044745827199356,-1
1509044745895343857,-1
1509044745960028903,-1
1509044746028272599,-1
1509044746094225617,-1
1509044746160983017,-1
1509044746243312173,-1
1509044746298357680,-1
1509044746364543596,-1
1509044746450419428,-1
1509044746500738173,-1
1509044746560018698,-1
1509044746627022285,-1
1509044746693568508,-1
1509044746807121777,-1
1509044746892750907,-1
1509044746946047044,-1
1509044746999956673,-1
1509044747052003077,-1
1509044747103474759,-1
1509044747161602890,-1
1509044747228701895,-1
1509044747297007985,-1
1509044747401972152,-1
1509044747471966484,-1
1509044747523462264,-1
1509044747577946694,-1
1509044747630923180,-1
1509044747695787587,-1
1509044747761749217,-1
1509044747828819594,-1
1509044747895057157,-1
1509044747961460697,-1
1509044748029011543,-1
1509044748096797158,-1
1509044748162336602,-1
1509044748281457026,-1
1509044748348586154,-1
1509044748399539943,-1
1509044748450277793,-1
1509044748499608412,-1
1509044748563792301,-1
1509044748630143737,-1
1509044748697060361,-1
1509044748762973748,-1
1509044748829553639,-1
1509044748895159253,-1
1509044748961194186,-1
1509044749028080869,-1
1509044749112958549,-1
1509044749162493839,-1
1509044749226854900,-1
1509044749293692603,-1
1509044749401823750,-1
1509044749471202353,-1
1509044749524435544,-1
1509044749576704618,-1
1509044749628037941,-1
1509044749695024671,-1
1509044749762278596,-1
1509044749829441176,-1
1509044749893889891,-1
1509044749960872416,-1
1509044750027942815,-1
1509044750096368784,-1
1509044750162020512,-1
1509044750272511063,-1
1509044750339214145,-1
1509044750389532328,-1
1509044750442300033,-1
1509044750496848307,-1
1509044750562243322,-1
1509044750628896786,-1
1509044750695479941,-1
1509044750765381532,-1
1509044750831912669,-1
1509044750896434106,-1
1509044750962168962,-1
1509044751029007419,-1
1509044751095607269,-1
1509044751162369166,-1
1509044751228802318,-1
1509044751299990251,-1
1509044751362519738,-1
1509044751428498447,-1
1509044751499217503,-1
1509044751563106631,-1
1509044751629232463,-1
1509044751695538810,-1
1509044751763694612,-1
1509044751829631063,-1
1509044751896167480,-1
1509044751962143565,-1
1509044752030814289,-1
1509044752093764483,-1
1509044752162234746,-1
1509044752227680866,-1
1509044752293412305,-1
1509044752361132838,-1
1509044752449102758,-1
1509044752499971813,-1
1509044752559918175,-1
1509044752627480835,-1
1509044752694295520,-1
1509044752762634487,-1
1509044752827682023,-1
1509044752895135258,-1
1509044752961095413,-1
1509044753027906856,-1
1509044753094805630,-1
1509044753188603845,-1
1509044753240369073,-1
1509044753295805645,-1
1509044753360647232,-1
1509044753427971599,-1
1509044753495611829,-1
1509044753561565868,-1
1509044753627589867,-1
1509044753696469050,-1
1509044753762768877,-1
1509044753852057661,-1
1509044753902840936,-1
1509044753961127383,-1
1509044754028323484,-1
1509044754097641372,-1
1509044754163633250,-1
1509044754231963032,-1
1509044754311446226,-1
1509044754363128009,-1
1509044754428988235,-1
1509044754496220410,-1
1509044754563069445,-1
1509044754630011859,-1
1509044754696002279,-1
1509044754762931039,-1
1509044754830893183,-1
1509044754897399644,-1
1509044754962553485,-1
1509044755030401001,-1
1509044755096072949,-1
1509044755164431742,-1
1509044755229375902,-1
1509044755296028061,-1
1509044755362001067,-1
1509044755474005485,-1
1509044755543558115,-1
1509044755595041560,-1
1509044755654426185,-1
1509044755704643372,-1
1509044755762227554,-1
1509044755826783099,-1
1509044755933413912,-1
1509044755996816335,-1
1509044756049528047,-1
1509044756099774881,-1
1509044756162669856,-1
1509044756227951387,-1
1509044756294439200,-1
1509044756360621986,-1
1509044756456727293,-1
1509044756508886167,-1
1509044756561333416,-1
1509044756628453153,-1
1509044756695110363,-1
1509044756760297974,-1
1509044756827678442,-1
1509044756894730892,-1
1509044756963090282,-1
1509044757029656135,-1
1509044757096025924,-1
1509044757163199204,-1
1509044757230142021,-1
1509044757296582861,-1
1509044757363162302,-1
1509044757429902132,-1
1509044757495876979,-1
1509044757562405801,-1
1509044757631141939,-1
1509044757695962594,-1
1509044757764426649,-1
1509044757828711750,-1
1509044757896576169,-1
1509044757963842830,-1
1509044758039393735,-1
1509044758096635908,-1
1509044758162056887,-1
1509044758228831508,-1
1509044758298153744,-1
1509044758361431055,-1
1509044758431222895,-1
1509044758495227871,-1
1509044758562698462,-1
1509044758631503594,-1
1509044758695639430,-1
1509044758760936122,-1
1509044758856240396,-1
1509044758904552757,-1
1509044758960383729,-1
1509044759026614093,-1
1509044759127982568,-1
1509044759192666298,-1
1509044759245871960,-1
1509044759297272956,-1
1509044759363118749,-1
1509044759428151562,-1
1509044759494810554,-1
1509044759562177119,-1
1509044759627793650,-1
1509044759696447436,-1
1509044759762464632,-1
1509044759828548876,-1
1509044759897092833,-1
1509044759960934420,-1
1509044760052806269,-1
1509044760105472737,-1
1509044760162272003,-1
1509044760228962690,-1
1509044760294857289,-1
1509044760362723487,-1
1509044760430021232,-1
1509044760496980946,-1
1509044760563016211,-1
1509044760630299143,-1
1509044760697220672,-1
1509044760762770987,-1
1509044760831256239,-1
1509044760905661419,-1
1509044760964083111,-1
1509044761029820065,-1
1509044761096781113,-1
1509044761163610536,-1
1509044761229032069,-1
1509044761338925287,-1
1509044761395874373,-1
1509044761451447552,-1
