%time,field.steering_wheel_angle_cmd,field.steering_wheel_angle_velocity,field.enable,field.clear,field.ignore,field.quiet,field.count
1509044732039007781,0.00471801450476,0.0,1,0,0,0,0
1509044732139172718,0.52292740345,0.0,1,0,0,0,0
1509044732238952586,-0.0953627899289,0.0,1,0,0,0,0
1509044732338971382,-0.269127547741,0.0,1,0,0,0,0
1509044732438866368,-0.0862257033587,0.0,1,0,0,0,0
1509044732538839702,0.0841632112861,0.0,1,0,0,0,0
1509044736638963133,0.00563902501017,0.0,1,0,0,0,0
1509044736739330996,0.00573115190491,0.0,1,0,0,0,0
1509044736838915468,0.00614108610898,0.0,1,0,0,0,0
1509044736938917041,0.509131789207,0.0,1,0,0,0,0
1509044737039067778,-0.312458604574,0.0,1,0,0,0,0
1509044737139142069,-0.365238159895,0.0,1,0,0,0,0
1509044737238974449,-0.344229996204,0.0,1,0,0,0,0
1509044737339035215,-0.406862199306,0.0,1,0,0,0,0
1509044737438940102,0.6326212883,0.0,1,0,0,0,0
1509044737538939812,0.677472233772,0.0,1,0,0,0,0
1509044737638932386,0.721832633018,0.0,1,0,0,0,0
1509044737738920258,0.741694331169,0.0,1,0,0,0,0
1509044737838967009,-0.391551941633,0.0,1,0,0,0,0
1509044737938822935,0.535159826279,0.0,1,0,0,0,0
1509044738038927664,-0.58024418354,0.0,1,0,0,0,0
1509044738138870679,-0.714546561241,0.0,1,0,0,0,0
1509044738238990042,0.163178339601,0.0,1,0,0,0,0
1509044738338967482,0.0576802641153,0.0,1,0,0,0,0
1509044738438895401,-1.05363607407,0.0,1,0,0,0,0
1509044738538940276,-0.134899020195,0.0,1,0,0,0,0
1509044738638887024,-0.19430398941,0.0,1,0,0,0,0
1509044738739014841,-1.3211452961,0.0,1,0,0,0,0
1509044738839033225,-0.461844712496,0.0,1,0,0,0,0
1509044738938943833,-0.559971034527,0.0,1,0,0,0,0
1509044739038977836,-0.662568628788,0.0,1,0,0,0,0
1509044739138773929,-1.77500462532,0.0,1,0,0,0,0
1509044739238864725,-1.87019813061,0.0,1,0,0,0,0
1509044739338964223,-0.946539402008,0.0,1,0,0,0,0
1509044739438958484,-2.01632285118,0.0,1,0,0,0,0
1509044739538795274,-2.10149097443,0.0,1,0,0,0,0
1509044739638874588,-1.19873809814,0.0,1,0,0,0,0
1509044739738909387,-2.29372262955,0.0,1,0,0,0,0
1509044739838960439,-2.39233636856,0.0,1,0,0,0,0
1509044739938855832,-2.45651650429,0.0,1,0,0,0,0
1509044740038856137,-2.48790216446,0.0,1,0,0,0,0
1509044740138874209,-2.45477461815,0.0,1,0,0,0,0
1509044740238915720,-2.41564846039,0.0,1,0,0,0,0
1509044740338974980,-2.51212334633,0.0,1,0,0,0,0
1509044740438817021,-2.56271052361,0.0,1,0,0,0,0
1509044740538825723,-2.62243318558,0.0,1,0,0,0,0
1509044740638974786,-2.68082642555,0.0,1,0,0,0,0
1509044740738812471,-2.71389460564,0.0,1,0,0,0,0
1509044740838897649,-2.72773838043,0.0,1,0,0,0,0
1509044740939526333,-2.757781744,0.0,1,0,0,0,0
1509044741038860398,-2.76565432549,0.0,1,0,0,0,0
1509044741138875052,-2.76776695251,0.0,1,0,0,0,0
1509044741238867842,-2.73696303368,0.0,1,0,0,0,0
1509044741338963991,-2.71287465096,0.0,1,0,0,0,0
1509044741438953216,-2.65011096001,0.0,1,0,0,0,0
1509044741538983643,-2.61017227173,0.0,1,0,0,0,0
1509044741639036660,-2.65559005737,0.0,1,0,0,0,0
1509044741738915190,-2.6223180294,0.0,1,0,0,0,0
1509044741838969395,-2.61408185959,0.0,1,0,0,0,0
1509044741938983241,-2.62076711655,0.0,1,0,0,0,0
1509044742039047574,-2.62420272827,0.0,1,0,0,0,0
1509044742138978239,-2.65132522583,0.0,1,0,0,0,0
1509044742240462368,-2.69983410835,0.0,1,0,0,0,0
1509044742338930492,-2.7778544426,0.0,1,0,0,0,0
1509044742438915278,-2.85307407379,0.0,1,0,0,0,0
1509044742538870929,-2.89454841614,0.0,1,0,0,0,0
1509044752439059225,0.520505547523,0.0,1,0,0,0,0
1509044752538918448,0.236354261637,0.0,1,0,0,0,0
1509044752638948402,0.629310846329,0.0,1,0,0,0,0
1509044752739014951,0.710645794868,0.0,1,0,0,0,0
1509044752839090887,0.807041227818,0.0,1,0,0,0,0
1509044752939081894,0.907957673073,0.0,1,0,0,0,0
1509044753038888409,1.04716992378,0.0,1,0,0,0,0
1509044753140218991,0.778455138206,0.0,1,0,0,0,0
1509044753239390628,0.671278953552,0.0,1,0,0,0,0
1509044753338964397,0.317816138268,0.0,1,0,0,0,0
1509044753439234763,0.168938726187,0.0,1,0,0,0,0
1509044753538906735,-1.10822999477,0.0,1,0,0,0,0
1509044753639007028,-0.675887584686,0.0,1,0,0,0,0
1509044753739028210,-1.65439498425,0.0,1,0,0,0,0
1509044753838945201,-1.17266488075,0.0,1,0,0,0,0
1509044753938909555,-2.03077864647,0.0,1,0,0,0,0
1509044754038941384,-2.1752986908,0.0,1,0,0,0,0
1509044754138872707,-1.29876768589,0.0,1,0,0,0,0
1509044754240297865,-2.41991257668,0.0,1,0,0,0,0
1509044754339010964,-1.56322669983,0.0,1,0,0,0,0
1509044754438950615,-2.63618016243,0.0,1,0,0,0,0
1509044754539000301,-2.68036627769,0.0,1,0,0,0,0
1509044754638916829,-2.74676084518,0.0,1,0,0,0,0
1509044754738846181,-1.78190147877,0.0,1,0,0,0,0
1509044754838924091,-2.83058905602,0.0,1,0,0,0,0
1509044754938869145,-2.83553242683,0.0,1,0,0,0,0
1509044755038998289,-2.86564540863,0.0,1,0,0,0,0
1509044755138877181,-2.88441729546,0.0,1,0,0,0,0
1509044755238946516,-2.84271645546,0.0,1,0,0,0,0
1509044755338892810,-2.89428329468,0.0,1,0,0,0,0
1509044755441828371,-2.67359399796,0.0,1,0,0,0,0
